grantee,table_schema,table_name,privilege_type
postgres,public,user_site_access,REFERENCES
postgres,public,user_site_access,SELECT
postgres,public,user_site_access,TRIGGER
postgres,public,user_site_access,TRUNCATE
postgres,public,user_site_access,UPDATE
service_role,public,user_site_access,DELETE
service_role,public,user_site_access,INSERT
service_role,public,user_site_access,REFERENCES
service_role,public,user_site_access,SELECT
service_role,public,user_site_access,TRIGGER
service_role,public,user_site_access,TRUNCATE
service_role,public,user_site_access,UPDATE
anon,public,zones,DELETE
anon,public,zones,INSERT
anon,public,zones,REFERENCES
anon,public,zones,SELECT
anon,public,zones,TRIGGER
anon,public,zones,TRUNCATE
anon,public,zones,UPDATE
authenticated,public,zones,DELETE
authenticated,public,zones,INSERT
authenticated,public,zones,REFERENCES
authenticated,public,zones,SELECT
authenticated,public,zones,TRIGGER
authenticated,public,zones,TRUNCATE
authenticated,public,zones,UPDATE
postgres,public,zones,DELETE
postgres,public,zones,INSERT
postgres,public,zones,REFERENCES
postgres,public,zones,SELECT
postgres,public,zones,TRIGGER
postgres,public,zones,TRUNCATE
postgres,public,zones,UPDATE
service_role,public,zones,DELETE
service_role,public,zones,INSERT
service_role,public,zones,REFERENCES
service_role,public,zones,SELECT
service_role,public,zones,TRIGGER
service_role,public,zones,TRUNCATE
service_role,public,zones,UPDATE
